anomaly_id,ticker,company,news_event_date,market_reaction_date,event_timing,direction,adjusted_close_return_pct,qqq_return_pct,qqq_excess_return_pct,excess_return_z_60d,reported_daily_volume,prior_20d_median_volume,relative_volume_x,catalyst_family,leading_catalyst,transmission_channel,scope,causal_attribution_confidence,primary_evidence_url,reaction_evidence_url,market_history_url,caveat
TECH-011,GOOGL,Alphabet Inc.,2023-02-08,2023-02-08,before_and_during_session,down,-7.68,-1.78,-5.90,-4.80,94743500,32840450,2.88,product_credibility_and_competitive_shock,"Bard's launch material contained a factual error and Google's presentation was judged against Microsoft's competing AI-search announcements, raising doubts about Google's response to generative AI.",product_credibility_search_competition_and_future_margins,idiosyncratic_with_platform_readthrough,Medium,https://blog.google/innovation-and-ai/technology/ai/bard-google-ai-search-updates/,https://www.investing.com/news/stock-market-news/google-ai-chatbot-bard-offers-inaccurate-information-in-company-ad-2998343,https://finance.yahoo.com/quote/GOOGL/history/,"Do not encode the Bard error as the sole cause. The move also reflected Microsoft's AI-search offensive, an underwhelming presentation and a weak technology session."
TECH-012,MSFT,Microsoft Corporation,2025-01-29,2025-01-30,after_close,down,-6.18,0.43,-6.61,-7.15,54586300,18264200,2.99,earnings_cloud_growth_and_capex,"Azure growth and the cloud outlook failed to clear elevated expectations while investors questioned the near-term return on heavy AI infrastructure spending.",cloud_growth_capital_intensity_and_AI_ROI,idiosyncratic_with_sector_readthrough,High,https://www.microsoft.com/en-us/investor/earnings/fy-2025-q2/press-release-webcast,https://www.investing.com/news/stock-market-news/microsoft-shares-slide-on-cloud-outlook-meta-up-after-q4-beat-3838807,https://finance.yahoo.com/quote/MSFT/history/,"Headline revenue and EPS beat expectations; the negative reaction centered on Azure and forward-looking expectations, not an across-the-board earnings miss."
TECH-013,AAPL,Apple Inc.,2019-01-02,2019-01-03,after_close,down,-9.96,-3.27,-6.69,-5.31,365248800,169146000,2.16,guidance_and_macro_exposure,"Apple cut quarterly revenue guidance to about $84 billion and attributed most of the shortfall to Greater China and weaker iPhone demand.",China_demand_hardware_units_and_global_growth,idiosyncratic_with_macro_spillover,High,https://www.apple.com/newsroom/2019/01/letter-from-tim-cook-to-apple-investors/,https://www.investing.com/news/technology-news/apple-shares-slide-after-iphone-maker-issues-rare-revenue-warning-1736150,https://finance.yahoo.com/quote/AAPL/history/,"Apple's warning also drove a broad global-growth selloff, so QQQ is partly downstream of the same catalyst rather than a fully independent control."
TECH-014,AMZN,"Amazon.com, Inc.",2022-04-28,2022-04-29,after_close,down,-14.05,-4.50,-9.55,-4.61,272662000,58360000,4.67,earnings_and_guidance,"Amazon reported a $3.8 billion quarterly net loss, including a $7.6 billion Rivian valuation loss, and gave weak operating-income guidance amid excess capacity and higher costs.",profitability_capacity_costs_and_consumer_demand,idiosyncratic_with_market_amplification,High,https://ir.aboutamazon.com/news-release/news-release-details/2022/Amazon-com-Announces-First-Quarter-Results-f0188db95/default.aspx,https://www.investing.com/news/stock-market-news/futures-fall-as-amazon-apple-results-disappoint-2813996,https://finance.yahoo.com/quote/AMZN/history/,"Inflation and a 4.50% QQQ decline amplified the absolute loss; AMZN still lagged QQQ by 9.55 percentage points. Historical prices and volumes reflect the later 20-for-1 split."
TECH-015,CRM,"Salesforce, Inc.",2024-05-29,2024-05-30,after_close,down,-19.74,-1.07,-18.67,-13.51,66763300,3652000,18.28,earnings_and_guidance,"Salesforce's quarterly revenue missed expectations and its next-quarter revenue and profit guidance disappointed amid weak enterprise software spending.",enterprise_IT_spending_growth_and_margin_expectations,idiosyncratic_with_software_readthrough,High,https://investor.salesforce.com/news/news-details/2024/Salesforce-Announces-First-Quarter-Fiscal-2025-Results/default.aspx,https://www.investing.com/news/stock-market-news/nasdaq-falls-1-salesforce-shares-weigh-on-tech-3462775,https://finance.yahoo.com/quote/CRM/history/,"This record has the sample's highest relative volume at 18.28 times the prior 20-session median."
TECH-016,ADBE,Adobe Inc.,2024-06-13,2024-06-14,after_close,up,14.51,0.52,13.99,11.29,14846600,2904650,5.11,earnings_AI_adoption_and_guidance,"Adobe beat quarterly expectations and raised annual targets as adoption of AI-enabled creative tools supported demand.",AI_product_monetization_revenue_and_earnings_expectations,idiosyncratic_with_software_readthrough,High,https://www.sec.gov/Archives/edgar/data/796343/000079634324000140/adbeex991q224.htm,https://apnews.com/article/63d505c4006b487928afe105e6bd150d,https://finance.yahoo.com/quote/ADBE/history/,"The release supports a stronger outlook, but separating AI enthusiasm from the ordinary earnings beat requires more granular analyst-expectation data."
TECH-017,ORCL,Oracle Corporation,2024-06-11,2024-06-12,after_close,up,13.32,1.31,12.01,10.94,40871300,7042400,5.80,earnings_contracts_and_partnerships,"Large AI contracts, a double-digit fiscal-2025 revenue-growth forecast, an OpenAI workload and a Google Cloud partnership outweighed a quarterly earnings miss.",contracted_cloud_demand_capacity_and_AI_positioning,idiosyncratic_with_cloud_readthrough,High,https://www.sec.gov/Archives/edgar/data/1341439/000095017024071916/orcl-ex99_1.htm,https://apnews.com/article/801313c9b0a14eb7687ca6114b775ffb,https://finance.yahoo.com/quote/ORCL/history/,"A softer inflation report lifted QQQ, but ORCL still delivered 12.01 percentage points of excess return. Several same-package positives make single-claim attribution inappropriate."
TECH-018,CRWD,"CrowdStrike Holdings, Inc.",2024-07-19,2024-07-19,before_open,down,-11.10,-0.89,-10.22,-4.26,168582800,12778000,13.19,operational_incident,"A faulty Falcon sensor content update caused widespread Windows system crashes and disrupted airlines, banks, healthcare and other customers globally.",service_continuity_customer_trust_liability_and_remediation_cost,idiosyncratic_with_cross_industry_impact,High,https://www.sec.gov/Archives/edgar/data/1535527/000110465924081571/tm2419936d1_8k.htm,https://www.investing.com/news/stock-market-news/crowdstrike-chaos-could-prompt-rethink-among-investors-customers-3527461,https://finance.yahoo.com/quote/CRWD/history/,"The operational trigger is certain; the eventual financial cost was not known on the event day, so price impact should not be equated with realized liability."
TECH-019,AVGO,Broadcom Inc.,2024-12-12,2024-12-13,after_close,up,24.43,0.77,23.67,14.41,121336600,20737550,5.85,earnings_and_AI_demand_outlook,"Broadcom reported 220% fiscal-year AI revenue growth and described a much larger future opportunity for custom AI accelerators and networking.",AI_addressable_market_custom_silicon_and_networking_demand,idiosyncratic_with_semiconductor_readthrough,High,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2024,https://www.investing.com/news/stock-market-news/broadcom-rallies-on-forecast-for-booming-ai-chip-demand-3771047,https://finance.yahoo.com/quote/AVGO/history/,"The share move embeds management's long-range opportunity framing, so its durability depended on future customer concentration and execution. Historical prices and volumes reflect the July 2024 stock split."
TECH-020,MU,"Micron Technology, Inc.",2024-12-18,2024-12-19,after_close,down,-16.18,-0.45,-15.73,-5.49,91396800,17980800,5.08,earnings_and_guidance,"Micron's weak next-quarter revenue and profit forecast showed that soft PC and smartphone demand could outweigh near-term strength in AI and data-center memory.",consumer_device_demand_product_mix_and_memory_pricing,idiosyncratic_with_semiconductor_readthrough,High,https://investors.micron.com/news/press-release/2024/Micron-Technology-Inc--Reports-Results-for-the-First-Quarter-of-Fiscal-2025-12-18-2024/default.aspx,https://www.investing.com/news/stock-market-news/micron-slumps-as-bleak-quarterly-forecast-clouds-airelated-boost-3781497,https://finance.yahoo.com/quote/MU/history/,"The case is useful for ontology testing because positive AI demand and negative consumer-memory demand coexisted in the same release."
